"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","21","1245","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","2","2","1","3.747885","0","2"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","4","4","1","5.446290","0","4"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","2","2","1","2.601941","0","2"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","21","17","17","1","26.701313","0","17"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","1.163466","0","2"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","20","20","1","25.181911","0","20"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","2","2","1","0.598089","0","2"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","4","4","1","1.093457","0","4"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","1.252755","0","2"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","21","30","30","1","39.712086","0","30"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","21","135","135","1","204.403900","0","135"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","21","4","4","1","3.367420","0","4"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","21","8","8","1","4.401754","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","30","30","1","54.714066","0","30"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","15","15","1","22.003733","0","15"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","0.586065","0","2"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","0.599193","0","2"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","7","7","1","2.882545","0","7"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","28","28","3","22.062868","0","28"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","4","4","1","2.861575","0","4"
"/ControlRig/M_Manip.M_Manip","21","4","4","1","1.861197","0","4"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","2","2","1","1.520659","0","2"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","21","2","2","1","1.280664","0","2"
"/Game/Materials/straightLineMovingLedge_Mat.straightLineMovingLedge_Mat","21","2","2","1","0.577287","0","2"
"/Game/Meshes/Material.Material","21","15","15","1","0.000000","0","15"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","21","60","60","1","83.700485","0","60"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","60","60","1","80.204659","0","60"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","21","60","60","1","0.000000","0","60"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","30","30","1","41.191181","0","30"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","2","2","1","1.396174","0","2"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","210","210","1","294.220703","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","0.512207","0","2"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","21","26","26","6","13.276179","0","26"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","21","4","4","1","1.984715","0","4"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","21","77","77","1","48.590401","0","77"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","21","648","648","1","438.534302","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","21","21","21","1","24.150866","0","21"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","21","7","7","1","2.785875","0","7"
"/Game/Blueprints/Material_001.Material_001","21","15","15","1","20.188400","0","15"
"/Game/Materials/orbitingLedge_Mat.orbitingLedge_Mat","21","2","2","1","1.146981","0","2"
"/Game/Materials/crumblingLedgeMat.crumblingLedgeMat","21","2","2","1","0.585755","0","2"
"/Game/Materials/cicrlingLedge_Mat.cicrlingLedge_Mat","21","2","2","1","0.586002","0","2"
"/Game/Meshes/ledgeMaterial.ledgeMaterial","21","2","2","1","0.000000","0","2"
"/Game/FlickerBPs/Blueprints/metal.metal","21","4","4","1","2.459749","0","4"
"/Game/FlickerBPs/Blueprints/nonTransparentYellow.nonTransparentYellow","21","4","4","1","2.388301","0","4"
"/Game/FlickerBPs/Blueprints/Material.Material","21","4","4","1","0.000000","0","4"
"/Game/FlickerBPs/Blueprints/eyeMat_textureCOords.eyeMat_textureCOords","21","4","4","1","2.403754","0","4"
"/Interchange/gltf/M_Unlit.M_Unlit","21","52","52","6","24.572788","0","52"
"/Game/Meshes/trunkMaterial.trunkMaterial","21","2","2","1","1.184311","0","2"
"/Game/Materials/eyeMat_textureCOords.eyeMat_textureCOords","21","4","4","1","2.393860","0","4"
"/Game/Materials/metal.metal","21","4","4","1","1.236047","0","4"
"/Game/Materials/nonTransparentYellow.nonTransparentYellow","21","4","4","1","2.379439","0","4"
"/Game/Materials/Material.Material","21","4","4","1","0.000000","0","4"
"/Game/Meshes/Material_002.Material_002","21","2","2","1","0.000000","0","2"
"/Game/Meshes/EF_MAT.EF_MAT","21","2","2","1","1.201442","0","2"
"/Game/Materials/spikeTexture_Mat.spikeTexture_Mat","21","2","2","1","0.609177","0","2"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","21","42","42","1","53.872566","0","42"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","21","102","102","1","138.319931","0","102"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","21","188","188","6","227.124786","0","188"
"/Interchange/gltf/M_Transmission.M_Transmission","21","72","72","2","142.251099","0","72"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","21","4","4","1","3.181778","0","4"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","21","10","10","1","7.762406","0","10"
"/Interchange/gltf/M_Sheen.M_Sheen","21","188","188","6","296.918152","0","188"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","21","188","188","6","300.026306","0","188"
"/Interchange/gltf/M_Default.M_Default","21","188","188","6","238.651688","0","188"
"Globals","24","1241","0","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","4","4","1","2.399379","0","4"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","24","2","2","1","1.371019","0","2"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","24","17","17","1","22.016436","0","17"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","24","2","2","1","1.092610","0","2"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","24","28","28","3","20.845625","0","28"
